122 252 104
123 252 104
123 253 102
124 253 101
124 253 101
125 253 100
126 254 99
119 251 107
119 251 107
120 251 107
121 251 107
121 251 106
122 251 105
123 251 104
123 252 104
124 252 103
124 252 102
125 252 101
126 252 100
126 253 99
127 253 98
128 253 96
117 249 110
118 249 110
118 249 110
119 249 109
119 250 108
120 250 108
121 250 108
121 250 107
122 250 106
123 251 105
123 251 104
124 251 103
124 251 102
125 251 101
126 252 100
126 252 99
127 252 98
128 252 97
128 253 96
116 248 111
116 248 110
117 248 110
118 248 110
118 249 110
119 249 109
119 249 109
120 249 108
121 249 108
121 249 107
122 249 106
123 250 105
123 250 104
124 250 103
124 250 103
125 250 101
126 251 101
126 251 99
127 251 99
128 251 97
128 252 96
129 252 95
114 247 112
115 247 113
115 247 113
116 247 112
116 247 112
117 247 111
118 247 111
118 248 111
119 248 110
119 248 109
120 248 108
121 248 108
121 248 107
122 249 106
123 249 105
123 249 104
124 249 104
124 249 103
125 250 102
126 250 101
126 250 100
127 250 99
128 250 98
128 251 97
129 251 96
129 251 94
112 246 113
112 246 113
113 246 113
113 246 113
114 246 113
115 246 114
115 246 113
116 246 112
116 246 112
117 246 112
118 247 111
118 247 111
119 247 110
119 247 109
120 247 109
121 247 108
121 248 107
122 248 106
123 248 105
123 248 104
124 248 103
124 249 102
125 249 101
126 249 101
126 249 100
127 249 99
128 250 98
128 250 97
129 250 96
129 250 95
130 251 93
131 251 90
110 245 114
111 245 115
112 245 116
112 245 116
113 245 115
113 245 115
114 245 115
115 245 114
115 245 113
116 245 113
116 246 112
117 246 112
118 246 111
118 246 110
119 246 110
119 246 109
120 246 108
121 247 107
121 247 107
122 247 106
123 247 105
123 247 104
124 248 103
124 248 102
125 248 101
126 248 100
126 248 100
127 249 99
128 249 98
128 249 97
129 249 96
129 249 95
130 250 94
131 250 91
109 244 117
110 244 117
110 244 117
111 244 117
112 244 116
112 244 116
113 244 116
113 244 115
114 244 115
115 244 114
115 244 114
116 245 113
116 245 112
117 245 112
118 245 111
118 245 110
119 245 109
119 245 109
120 246 108
121 246 107
121 246 106
122 246 105
123 246 105
123 247 104
124 247 103
124 247 102
125 247 101
126 247 100
126 248 99
127 248 99
128 248 98
128 248 97
129 248 96
129 248 95
130 249 94
131 249 92
131 250 90
108 243 118
109 243 118
109 243 118
110 243 118
110 243 117
111 243 117
112 243 117
112 243 116
113 243 116
113 243 115
114 243 114
115 243 114
115 244 113
116 244 113
116 244 112
117 244 111
118 244 111
118 244 110
119 245 109
119 245 108
120 245 108
121 245 107
121 245 106
122 245 105
123 246 104
123 246 103
124 246 103
124 246 102
125 246 101
126 247 100
126 247 99
127 247 99
128 247 98
128 247 97
129 247 96
129 248 95
130 248 95
131 248 93
131 249 91
132 249 90
133 249 88
107 242 118
107 242 119
108 242 119
109 242 119
109 242 119
110 242 118
110 242 118
111 242 117
112 242 117
112 242 116
113 242 116
113 242 115
114 243 114
115 243 114
115 243 113
116 243 112
116 243 112
117 243 111
118 243 110
118 244 110
119 244 109
119 244 108
120 244 107
121 244 106
121 245 106
122 245 105
123 245 104
123 245 103
124 245 102
124 245 102
125 246 101
126 246 100
126 246 99
127 246 98
128 246 98
128 246 97
129 247 96
129 247 95
130 247 95
131 247 94
131 247 92
132 248 90
133 248 89
133 248 88
134 249 87
105 241 118
106 241 120
106 241 120
107 241 120
107 241 119
108 241 120
109 241 119
109 241 119
